RB,EDE,param,symbol
1.31025916377179,0,kc06r,PTEN -| PIP3
1.18840097945605,1.04403611350095,kc03f,HRG -> ERBB
1.13985368324365,0.980853480168063,kc02f,FGF -> FGFR4
1.09082943412976,0.457654776667541,kc16f,Ras -> Raf
1.0907804020638,0.457674309910503,kc17f,Raf -> MEK
1.09038372245546,0.45758928205596,kc18f,MEK -> ERK
1.05052280100136,0.953970105246381,kc25f,FRS2 -> pSPRY2
1.04664379436693,0.527637614602609,ki01r,PTP  -| IGFR
1.04194670902038,0.999981923043618,ki12f,SPRY2 -| Grb2
1.02905524709281,0.999985421764957,kc15f1,Sos -> Ras
1.02338295122137,1.02303004286153,kc12f2,ERBB -> Grb2
1.02118797778744,0.999982892874826,kc13f,Grb2 -> Sos
1.01728770641803,0.999975476391712,kc32f,AKT -| FOXO
1.01707498828105,1.02099802776356,kc12f3,IRS -> Grb2
1.01240300975885,1.00000769175735,ki11r,ERK -| FRS2
1.01148975814114,1.00001517150515,kc03f2,FOXO -> ERBB
1.006881342325,0.993891406893871,kc14f1,Grb2 -> Shp2
1.00564093055363,1.02057721152108,kc21,ERK -> mSPRY2
1.00420440943025,0.999965882355746,kc20f,Grb2 -> GAB2
1.0025900924867,0.999993136306921,ki19f,ERK -| GAB1
1.00255470191004,1.00002260754286,ki11f,Cbl -| FRS2
1.00123473801089,0.999994666256392,kc27b,AKT -> mPTP
1.0007406553958,0.999979535717619,alpha20f,PIP3 -> GAB2
1.000418053186,0.999990248517018,ki04f,S6K -| IRS
1.00030899539511,0.999948531273866,kc09f,AKT -> mTORC1
1.00010270558629,0.999976253023694,kc10f,mTORC1 -> S6K
0.999983428334264,0.999992765163571,ki33f,S6K -| mTORC2
0.99995671830134,0.99999089903497,kc09f1,ERK -> mTORC1
0.999172933253199,0.999977747484428,ki20f2,AKT -| GAB2
0.995208513911784,1.07416361762495,kc08f1,mTORC2 -> AKT
0.992832393012735,1.02037740698281,ki20f1,ERK -| GAB2
0.99155442288206,0.695209071676813,kc15f2,Shp2 ->Ras
0.991363390199986,0.721896061110373,kc14f2,GAB1/2 -> Shp2
0.976173525250856,1.0000171558757,ki15f,ERK -| Sos
0.974682360215745,0.871216332432933,kc19f,Grb2 -> GAB1
0.953671080227864,0.999981878291795,kc05f4,ERBB -> PI3K
0.952395137309719,1.54766564572982,kc01f,IGF -> IGFR
0.952351939575069,0.970528523992145,ki02r1,PTP  -| FGFR4
0.951533312518189,1.54851979446746,kc04f,IGFR -> IRS
0.945318872766281,0.98077352189899,kc11f,FGFR4 -> FRS2
0.940195351013474,1.58031748345117,kc05f1,IRS -> PI3K
0.928786237688994,0.873562887853693,alpha19f,PIP3 ->  GAB1
0.923986629694477,1.41759365552437,kc05f3,Ras -> PI3K
0.922620127534191,1.00085240177889,ki03f,ERK -| ERBB
0.921216793420606,0.962901326164826,kc27a,ERK -> mPTP
0.899340282397328,0.885612131953878,kc05f2,GAB1/2 -> PI3K
0.872678032467418,0.972832396707836,kc31f,GRB2 -> Cbl
0.851438134908991,1.0315307927741,kc12f1,FRS2 -> Grb2
0.838910618205859,1.29205865668009,ki16f1,AKT -| Raf
0.83258606231037,0.972474394984971,ki02r2,Cbl -| FGFR4
0.757781958997884,1.78253503721723,kc08f,PDK1 -> AKT
0.750404592204888,1.08080746743221,ki16f2,SPRY2 -| Raf
0.736039251203278,2.24493507144524,kc06f,PI3K -> PIP3
0.729838772841173,2.28836562023051,kc07f,PIP3 -> PDK1
0.615552477588598,0.767739079874236,ki03r,PTP -| ERBB
